Net,Conventional Accounting,Sector,Category,Sub-Category 1,Gas
No,No,Energy,Fuel Combustion,Transportation,Biogenic CO2
No,No,Energy,Fuel Combustion,Transportation,Biogenic CO2
No,No,Energy,Fuel Combustion,Transportation,Biogenic CO2
Yes,Yes,Energy,Fuel Combustion,Transportation,CH4
No,No,Energy,Fuel Combustion,Transportation,Biogenic CO2
No,No,Energy,Fuel Combustion,Transportation,Biogenic CO2
No,No,Energy,Fuel Combustion,Transportation,Biogenic CO2
No,No,Energy,Fuel Combustion,Transportation,Biogenic CO2
No,No,Energy,Fuel Combustion,Transportation,Biogenic CO2
No,No,Energy,Fuel Combustion,Transportation,Biogenic CO2
No,No,Energy,Fuel Combustion,Transportation,Biogenic CO2
No,No,Energy,Fuel Combustion,Transportation,Biogenic CO2
No,No,Energy,Fuel Combustion,Transportation,Biogenic CO2
No,No,Energy,Fuel Combustion,Transportation,Biogenic CO2
No,No,Energy,Fuel Combustion,Transportation,Biogenic CO2
No,No,Energy,Fuel Combustion,Transportation,Biogenic CO2
No,No,Energy,Fuel Combustion,Transportation,Biogenic CO2
No,No,Energy,Fuel Combustion,Transportation,Biogenic CO2
No,No,Energy,Fuel Combustion,Transportation,Biogenic CO2
Yes,Yes,Energy,Fuel Combustion,Transportation,CH4
No,No,Energy,Fuel Combustion,Transportation,Biogenic CO2
No,No,Energy,Fuel Combustion,Transportation,Biogenic CO2
No,No,Energy,Fuel Combustion,Transportation,Biogenic CO2
No,No,Energy,Fuel Combustion,Transportation,Biogenic CO2
No,No,Energy,Fuel Combustion,Transportation,Biogenic CO2
No,No,Energy,Fuel Combustion,Transportation,Biogenic CO2
No,No,Energy,Fuel Combustion,Transportation,Biogenic CO2
No,No,Energy,Fuel Combustion,Transportation,Biogenic CO2
No,No,Energy,Fuel Combustion,Transportation,Biogenic CO2
No,No,Energy,Fuel Combustion,Transportation,Biogenic CO2
No,No,Energy,Fuel Combustion,Transportation,Biogenic CO2
No,No,Energy,Fuel Combustion,Transportation,Biogenic CO2
No,No,Energy,Fuel Combustion,Transportation,Biogenic CO2
No,No,Energy,Fuel Combustion,Transportation,Biogenic CO2
No,No,Energy,Fuel Combustion,Transportation,Biogenic CO2
Yes,Yes,Energy,Fuel Combustion,Transportation,CH4
No,No,Energy,Fuel Combustion,Transportation,Biogenic CO2
No,No,Energy,Fuel Combustion,Transportation,Biogenic CO2
No,No,Energy,Fuel Combustion,Transportation,Biogenic CO2
No,No,Energy,Fuel Combustion,Transportation,Biogenic CO2
No,No,Energy,Fuel Combustion,Transportation,Biogenic CO2
No,No,Energy,Fuel Combustion,Transportation,Biogenic CO2
No,No,Energy,Fuel Combustion,Transportation,Biogenic CO2
No,No,Energy,Fuel Combustion,Transportation,Biogenic CO2
No,No,Energy,Fuel Combustion,Transportation,Biogenic CO2
No,No,Energy,Fuel Combustion,Transportation,Biogenic CO2
No,No,Energy,Fuel Combustion,Transportation,Biogenic CO2
No,No,Energy,Fuel Combustion,Transportation,Biogenic CO2
No,No,Energy,Fuel Combustion,Transportation,Biogenic CO2
No,No,Energy,Fuel Combustion,Transportation,Biogenic CO2
Yes,Yes,Energy,Fuel Combustion,Transportation,CH4
No,No,Energy,Fuel Combustion,Transportation,Biogenic CO2
No,No,Energy,Fuel Combustion,Transportation,Biogenic CO2
No,No,Energy,Fuel Combustion,Transportation,Biogenic CO2
No,No,Energy,Fuel Combustion,Transportation,Biogenic CO2
No,No,Energy,Fuel Combustion,Transportation,Biogenic CO2
No,No,Energy,Fuel Combustion,Transportation,Biogenic CO2
Yes,Yes,Energy,Fuel Combustion,Transportation,CH4
No,No,Energy,Fuel Combustion,Transportation,Biogenic CO2
No,No,Energy,Fuel Combustion,Transportation,Biogenic CO2
No,No,Energy,Fuel Combustion,Transportation,Biogenic CO2
No,No,Energy,Fuel Combustion,Transportation,Biogenic CO2
No,No,Energy,Fuel Combustion,Transportation,Biogenic CO2
No,No,Energy,Fuel Combustion,Transportation,Biogenic CO2
Yes,Yes,Energy,Fuel Combustion,Transportation,CH4
No,No,Energy,Fuel Combustion,Transportation,Biogenic CO2
No,No,Energy,Fuel Combustion,Transportation,Biogenic CO2
No,No,Energy,Fuel Combustion,Transportation,Biogenic CO2
No,No,Energy,Fuel Combustion,Transportation,Biogenic CO2
No,No,Energy,Fuel Combustion,Transportation,Biogenic CO2
No,No,Energy,Fuel Combustion,Transportation,Biogenic CO2
Yes,Yes,Energy,Fuel Combustion,Transportation,CH4
No,No,Energy,Fuel Combustion,Transportation,Biogenic CO2
No,No,Energy,Fuel Combustion,Transportation,Biogenic CO2
No,No,Energy,Fuel Combustion,Transportation,Biogenic CO2
No,No,Energy,Fuel Combustion,Transportation,Biogenic CO2
No,No,Energy,Fuel Combustion,Transportation,Biogenic CO2
No,No,Energy,Fuel Combustion,Transportation,Biogenic CO2
Yes,Yes,Energy,Fuel Combustion,Transportation,CH4
No,No,Energy,Fuel Combustion,Transportation,Biogenic CO2
No,No,Energy,Fuel Combustion,Transportation,Biogenic CO2
Yes,Yes,Energy,Fuel Combustion,Transportation,CO2
Yes,Yes,Energy,Fuel Combustion,Transportation,CH4
Yes,Yes,Energy,Fuel Combustion,Transportation,N2O
No,No,Energy,Fuel Combustion,Transportation,Biogenic CO2
No,No,Energy,Fuel Combustion,Transportation,Biogenic CO2
Yes,No,Energy,Imported Fossil Fuels,Transportation,CO2
Yes,No,Energy,Imported Fossil Fuels,Transportation,CH4
Yes,No,Energy,Imported Fossil Fuels,Transportation,N2O
No,No,Energy,Fuel Combustion,Transportation,Biogenic CO2
No,No,Energy,Fuel Combustion,Transportation,Biogenic CO2
Yes,Yes,Energy,Fuel Combustion,Transportation,CH4
No,No,Energy,Fuel Combustion,Transportation,Biogenic CO2
No,No,Energy,Fuel Combustion,Transportation,Biogenic CO2
No,No,Energy,Fuel Combustion,Transportation,Biogenic CO2
No,No,Energy,Fuel Combustion,Transportation,Biogenic CO2
No,No,Energy,Fuel Combustion,Transportation,Biogenic CO2
No,No,Energy,Fuel Combustion,Transportation,Biogenic CO2
Yes,Yes,Energy,Fuel Combustion,Transportation,CH4
No,No,Energy,Fuel Combustion,Transportation,Biogenic CO2
No,No,Energy,Fuel Combustion,Transportation,Biogenic CO2
No,No,Energy,Fuel Combustion,Transportation,Biogenic CO2
No,No,Energy,Fuel Combustion,Transportation,Biogenic CO2
No,No,Energy,Fuel Combustion,Transportation,Biogenic CO2
No,No,Energy,Fuel Combustion,Transportation,Biogenic CO2
Yes,Yes,Energy,Fuel Combustion,Transportation,CH4
No,No,Energy,Fuel Combustion,Transportation,Biogenic CO2
No,No,Energy,Fuel Combustion,Transportation,Biogenic CO2
No,No,Energy,Fuel Combustion,Transportation,Biogenic CO2
No,No,Energy,Fuel Combustion,Transportation,Biogenic CO2
No,No,Energy,Fuel Combustion,Transportation,Biogenic CO2
Yes,Yes,Energy,Fuel Combustion,Transportation,CH4
No,No,Energy,Fuel Combustion,Transportation,Biogenic CO2
No,No,Energy,Fuel Combustion,Transportation,Biogenic CO2
Yes,Yes,Energy,Fuel Combustion,Transportation,CH4
Yes,Yes,Energy,Fuel Combustion,Transportation,CO2
Yes,Yes,Energy,Fuel Combustion,Transportation,CH4
Yes,Yes,Energy,Fuel Combustion,Transportation,N2O
No,No,Energy,Fuel Combustion,Transportation,Biogenic CO2
Yes,No,Energy,Imported Fossil Fuels,Transportation,CO2
Yes,No,Energy,Imported Fossil Fuels,Transportation,CH4
Yes,No,Energy,Imported Fossil Fuels,Transportation,N2O
No,No,Energy,Fuel Combustion,Transportation,Biogenic CO2
Yes,Yes,Energy,Fuel Combustion,Transportation,CH4
Yes,Yes,Energy,Fuel Combustion,Transportation,CO2
Yes,Yes,Energy,Fuel Combustion,Transportation,CH4
Yes,Yes,Energy,Fuel Combustion,Transportation,N2O
No,No,Energy,Fuel Combustion,Transportation,Biogenic CO2
Yes,No,Energy,Imported Fossil Fuels,Transportation,CO2
Yes,No,Energy,Imported Fossil Fuels,Transportation,CH4
Yes,No,Energy,Imported Fossil Fuels,Transportation,N2O
No,No,Energy,Fuel Combustion,Transportation,Biogenic CO2
Yes,Yes,Energy,Fuel Combustion,Transportation,CH4
Yes,Yes,Energy,Fuel Combustion,Transportation,CO2
Yes,Yes,Energy,Fuel Combustion,Transportation,CH4
Yes,Yes,Energy,Fuel Combustion,Transportation,N2O
No,No,Energy,Fuel Combustion,Transportation,Biogenic CO2
Yes,No,Energy,Imported Fossil Fuels,Transportation,CO2
Yes,No,Energy,Imported Fossil Fuels,Transportation,CH4
Yes,No,Energy,Imported Fossil Fuels,Transportation,N2O
No,No,Energy,Fuel Combustion,Transportation,Biogenic CO2
Yes,Yes,Energy,Fuel Combustion,Transportation,CH4
Yes,Yes,Energy,Fuel Combustion,Transportation,CO2
Yes,Yes,Energy,Fuel Combustion,Transportation,CH4
Yes,Yes,Energy,Fuel Combustion,Transportation,N2O
No,No,Energy,Fuel Combustion,Transportation,Biogenic CO2
Yes,No,Energy,Imported Fossil Fuels,Transportation,CO2
Yes,No,Energy,Imported Fossil Fuels,Transportation,CH4
Yes,No,Energy,Imported Fossil Fuels,Transportation,N2O
No,No,Energy,Fuel Combustion,Transportation,Biogenic CO2
Yes,Yes,Energy,Fuel Combustion,Transportation,CH4
Yes,Yes,Energy,Fuel Combustion,Transportation,CO2
Yes,Yes,Energy,Fuel Combustion,Transportation,CH4
Yes,Yes,Energy,Fuel Combustion,Transportation,N2O
No,No,Energy,Fuel Combustion,Transportation,Biogenic CO2
Yes,No,Energy,Imported Fossil Fuels,Transportation,CO2
Yes,No,Energy,Imported Fossil Fuels,Transportation,CH4
Yes,No,Energy,Imported Fossil Fuels,Transportation,N2O
No,No,Energy,Fuel Combustion,Transportation,Biogenic CO2
Yes,Yes,Energy,Fuel Combustion,Transportation,CH4
Yes,Yes,Energy,Fuel Combustion,Transportation,CO2
Yes,Yes,Energy,Fuel Combustion,Transportation,CH4
Yes,Yes,Energy,Fuel Combustion,Transportation,N2O
No,No,Energy,Fuel Combustion,Transportation,Biogenic CO2
Yes,No,Energy,Imported Fossil Fuels,Transportation,CO2
Yes,No,Energy,Imported Fossil Fuels,Transportation,CH4
Yes,No,Energy,Imported Fossil Fuels,Transportation,N2O
No,No,Energy,Fuel Combustion,Transportation,Biogenic CO2
Yes,Yes,Energy,Fuel Combustion,Transportation,CH4
Yes,Yes,Energy,Fuel Combustion,Transportation,CO2
Yes,Yes,Energy,Fuel Combustion,Transportation,CH4
Yes,Yes,Energy,Fuel Combustion,Transportation,N2O
No,No,Energy,Fuel Combustion,Transportation,Biogenic CO2
Yes,No,Energy,Imported Fossil Fuels,Transportation,CO2
Yes,No,Energy,Imported Fossil Fuels,Transportation,CH4
Yes,No,Energy,Imported Fossil Fuels,Transportation,N2O
No,No,Energy,Fuel Combustion,Transportation,Biogenic CO2
Yes,Yes,Energy,Fuel Combustion,Transportation,CH4
No,No,Energy,Fuel Combustion,Transportation,Biogenic CO2
No,No,Energy,Fuel Combustion,Transportation,Biogenic CO2
Yes,Yes,Energy,Fuel Combustion,Transportation,CH4
Yes,Yes,Energy,Fuel Combustion,Transportation,CO2
Yes,Yes,Energy,Fuel Combustion,Transportation,CH4
Yes,Yes,Energy,Fuel Combustion,Transportation,N2O
No,No,Energy,Fuel Combustion,Transportation,Biogenic CO2
Yes,No,Energy,Imported Fossil Fuels,Transportation,CO2
Yes,No,Energy,Imported Fossil Fuels,Transportation,CH4
Yes,No,Energy,Imported Fossil Fuels,Transportation,N2O
No,No,Energy,Fuel Combustion,Transportation,Biogenic CO2
Yes,Yes,Energy,Fuel Combustion,Transportation,CH4
No,No,Energy,Fuel Combustion,Transportation,Biogenic CO2
No,No,Energy,Fuel Combustion,Transportation,Biogenic CO2
Yes,Yes,Energy,Fuel Combustion,Transportation,CH4
No,No,Energy,Fuel Combustion,Transportation,Biogenic CO2
No,No,Energy,Fuel Combustion,Transportation,Biogenic CO2
Yes,Yes,Energy,Fuel Combustion,Transportation,CH4
No,No,Energy,Fuel Combustion,Transportation,Biogenic CO2
No,No,Energy,Fuel Combustion,Transportation,Biogenic CO2
Yes,Yes,Energy,Fuel Combustion,Transportation,CH4
Yes,Yes,Energy,Fuel Combustion,Transportation,CO2
Yes,Yes,Energy,Fuel Combustion,Transportation,CH4
Yes,Yes,Energy,Fuel Combustion,Transportation,N2O
No,No,Energy,Fuel Combustion,Transportation,Biogenic CO2
Yes,No,Energy,Imported Fossil Fuels,Transportation,CO2
Yes,No,Energy,Imported Fossil Fuels,Transportation,CH4
Yes,No,Energy,Imported Fossil Fuels,Transportation,N2O
No,No,Energy,Fuel Combustion,Transportation,Biogenic CO2
Yes,Yes,Energy,Fuel Combustion,Transportation,CH4
Yes,Yes,Energy,Fuel Combustion,Transportation,CO2
Yes,Yes,Energy,Fuel Combustion,Transportation,CH4
Yes,Yes,Energy,Fuel Combustion,Transportation,N2O
No,No,Energy,Fuel Combustion,Transportation,Biogenic CO2
Yes,No,Energy,Imported Fossil Fuels,Transportation,CO2
Yes,No,Energy,Imported Fossil Fuels,Transportation,CH4
Yes,No,Energy,Imported Fossil Fuels,Transportation,N2O
No,No,Energy,Fuel Combustion,Transportation,Biogenic CO2
Yes,Yes,Energy,Fuel Combustion,Transportation,CH4
Yes,Yes,Energy,Fuel Combustion,Transportation,CO2
Yes,Yes,Energy,Fuel Combustion,Transportation,CH4
Yes,Yes,Energy,Fuel Combustion,Transportation,N2O
No,No,Energy,Fuel Combustion,Transportation,Biogenic CO2
Yes,No,Energy,Imported Fossil Fuels,Transportation,CO2
Yes,No,Energy,Imported Fossil Fuels,Transportation,CH4
Yes,No,Energy,Imported Fossil Fuels,Transportation,N2O
No,No,Energy,Fuel Combustion,Transportation,Biogenic CO2
Yes,Yes,Energy,Fuel Combustion,Transportation,CH4
Yes,Yes,Energy,Fuel Combustion,Transportation,CO2
Yes,Yes,Energy,Fuel Combustion,Transportation,CH4
Yes,Yes,Energy,Fuel Combustion,Transportation,N2O
No,No,Energy,Fuel Combustion,Transportation,Biogenic CO2
Yes,No,Energy,Imported Fossil Fuels,Transportation,CO2
Yes,No,Energy,Imported Fossil Fuels,Transportation,CH4
Yes,No,Energy,Imported Fossil Fuels,Transportation,N2O
No,No,Energy,Fuel Combustion,Transportation,Biogenic CO2
Yes,Yes,Energy,Fuel Combustion,Transportation,CH4
Yes,Yes,Energy,Fuel Combustion,Transportation,CO2
Yes,Yes,Energy,Fuel Combustion,Transportation,CH4
Yes,Yes,Energy,Fuel Combustion,Transportation,N2O
No,No,Energy,Fuel Combustion,Transportation,Biogenic CO2
Yes,No,Energy,Imported Fossil Fuels,Transportation,CO2
Yes,No,Energy,Imported Fossil Fuels,Transportation,CH4
Yes,No,Energy,Imported Fossil Fuels,Transportation,N2O
No,No,Energy,Fuel Combustion,Transportation,Biogenic CO2
Yes,Yes,Energy,Fuel Combustion,Transportation,CH4
Yes,Yes,Energy,Fuel Combustion,Transportation,CO2
Yes,Yes,Energy,Fuel Combustion,Transportation,CH4
Yes,Yes,Energy,Fuel Combustion,Transportation,N2O
No,No,Energy,Fuel Combustion,Transportation,Biogenic CO2
Yes,No,Energy,Imported Fossil Fuels,Transportation,CO2
Yes,No,Energy,Imported Fossil Fuels,Transportation,CH4
Yes,No,Energy,Imported Fossil Fuels,Transportation,N2O
Yes,Yes,IPPU,Product Use,ODS Substitues,HFCs
Yes,Yes,IPPU,Product Use,ODS Substitues,HFCs
Yes,Yes,IPPU,Product Use,ODS Substitues,HFCs
Yes,Yes,IPPU,Product Use,ODS Substitues,HFCs
Yes,Yes,IPPU,Product Use,ODS Substitues,HFCs
Yes,Yes,IPPU,Product Use,ODS Substitues,HFCs
Yes,Yes,IPPU,Product Use,ODS Substitues,HFCs
Yes,Yes,IPPU,Product Use,ODS Substitues,HFCs
Yes,Yes,IPPU,Product Use,ODS Substitues,HFCs
Yes,Yes,IPPU,Product Use,ODS Substitues,HFCs
Yes,No,Energy,Imported Fossil Fuels,Transportation,N2O
Yes,No,Energy,Imported Fossil Fuels,Transportation,N2O
Yes,Yes,Energy,Fuel Combustion,Transportation,N2O
Yes,No,Energy,Imported Fossil Fuels,Transportation,N2O
Yes,No,Energy,Imported Fossil Fuels,Transportation,N2O
Yes,No,Energy,Imported Fossil Fuels,Transportation,N2O
Yes,No,Energy,Imported Fossil Fuels,Transportation,N2O
Yes,No,Energy,Imported Fossil Fuels,Transportation,N2O
Yes,No,Energy,Imported Fossil Fuels,Transportation,N2O
Yes,No,Energy,Imported Fossil Fuels,Transportation,N2O
Yes,No,Energy,Imported Fossil Fuels,Transportation,N2O
Yes,No,Energy,Imported Fossil Fuels,Transportation,N2O
Yes,No,Energy,Imported Fossil Fuels,Transportation,N2O
Yes,No,Energy,Imported Fossil Fuels,Transportation,N2O
Yes,No,Energy,Imported Fossil Fuels,Transportation,N2O
Yes,No,Energy,Imported Fossil Fuels,Transportation,N2O
Yes,No,Energy,Imported Fossil Fuels,Transportation,N2O
Yes,No,Energy,Imported Fossil Fuels,Transportation,N2O
No,No,Energy,Fuel Combustion,Transportation,Biogenic CO2
Yes,No,Energy,Imported Fossil Fuels,Transportation,N2O
Yes,No,Energy,Imported Fossil Fuels,Transportation,N2O
Yes,No,Energy,Imported Fossil Fuels,Transportation,N2O
Yes,No,Energy,Imported Fossil Fuels,Transportation,N2O
No,No,Energy,Fuel Combustion,Transportation,Biogenic CO2
Yes,No,Energy,Imported Fossil Fuels,Transportation,N2O
Yes,No,Energy,Imported Fossil Fuels,Transportation,N2O
Yes,No,Energy,Imported Fossil Fuels,Transportation,N2O
No,No,Energy,Fuel Combustion,Transportation,Biogenic CO2
Yes,Yes,Energy,Fuel Combustion,Transportation,N2O
Yes,No,Energy,Imported Fossil Fuels,Transportation,N2O
Yes,No,Energy,Imported Fossil Fuels,Transportation,N2O
Yes,No,Energy,Imported Fossil Fuels,Transportation,N2O
Yes,No,Energy,Imported Fossil Fuels,Transportation,N2O
Yes,No,Energy,Imported Fossil Fuels,Transportation,N2O
Yes,No,Energy,Imported Fossil Fuels,Transportation,N2O
Yes,No,Energy,Imported Fossil Fuels,Transportation,N2O
Yes,No,Energy,Imported Fossil Fuels,Transportation,N2O
Yes,No,Energy,Imported Fossil Fuels,Transportation,N2O
Yes,No,Energy,Imported Fossil Fuels,Transportation,N2O
Yes,No,Energy,Imported Fossil Fuels,Transportation,N2O
Yes,No,Energy,Imported Fossil Fuels,Transportation,N2O
No,No,Energy,Fuel Combustion,Transportation,Biogenic CO2
Yes,No,Energy,Imported Fossil Fuels,Transportation,N2O
Yes,No,Energy,Imported Fossil Fuels,Transportation,N2O
No,No,Energy,Fuel Combustion,Transportation,Biogenic CO2
Yes,No,Energy,Imported Fossil Fuels,Transportation,N2O
Yes,No,Energy,Imported Fossil Fuels,Transportation,N2O
Yes,No,Energy,Imported Fossil Fuels,Transportation,N2O
Yes,No,Energy,Imported Fossil Fuels,Transportation,N2O
Yes,No,Energy,Imported Fossil Fuels,Transportation,N2O
Yes,No,Energy,Imported Fossil Fuels,Transportation,N2O
Yes,No,Energy,Imported Fossil Fuels,Transportation,N2O
Yes,No,Energy,Imported Fossil Fuels,Transportation,N2O
Yes,No,Energy,Imported Fossil Fuels,Transportation,N2O
Yes,No,Energy,Imported Fossil Fuels,Transportation,N2O
Yes,No,Energy,Imported Fossil Fuels,Transportation,N2O
Yes,No,Energy,Imported Fossil Fuels,Transportation,N2O
Yes,No,Energy,Imported Fossil Fuels,Transportation,N2O
No,No,Energy,Fuel Combustion,Transportation,Biogenic CO2
Yes,No,Energy,Imported Fossil Fuels,Transportation,CO2
Yes,No,Energy,Imported Fossil Fuels,Transportation,N2O
Yes,No,Energy,Imported Fossil Fuels,Transportation,N2O
Yes,No,Energy,Imported Fossil Fuels,Transportation,N2O
Yes,No,Energy,Imported Fossil Fuels,Transportation,N2O
Yes,No,Energy,Imported Fossil Fuels,Transportation,N2O
Yes,No,Energy,Imported Fossil Fuels,Transportation,N2O
Yes,No,Energy,Imported Fossil Fuels,Transportation,N2O
Yes,No,Energy,Imported Fossil Fuels,Transportation,N2O
Yes,No,Energy,Imported Fossil Fuels,Transportation,N2O
No,No,Energy,Fuel Combustion,Transportation,Biogenic CO2
Yes,No,Energy,Imported Fossil Fuels,Transportation,N2O
Yes,No,Energy,Imported Fossil Fuels,Transportation,N2O
Yes,No,Energy,Imported Fossil Fuels,Transportation,N2O
Yes,No,Energy,Imported Fossil Fuels,Transportation,N2O
Yes,No,Energy,Imported Fossil Fuels,Transportation,N2O
Yes,No,Energy,Imported Fossil Fuels,Transportation,N2O
Yes,No,Energy,Imported Fossil Fuels,Transportation,N2O
Yes,No,Energy,Imported Fossil Fuels,Transportation,N2O
Yes,No,Energy,Imported Fossil Fuels,Transportation,N2O
No,No,Energy,Fuel Combustion,Transportation,Biogenic CO2
Yes,No,Energy,Imported Fossil Fuels,Transportation,N2O
Yes,No,Energy,Imported Fossil Fuels,Transportation,N2O
Yes,No,Energy,Imported Fossil Fuels,Transportation,N2O
No,No,Energy,Fuel Combustion,Transportation,Biogenic CO2
Yes,No,Energy,Imported Fossil Fuels,Transportation,N2O
Yes,No,Energy,Imported Fossil Fuels,Transportation,N2O
Yes,No,Energy,Imported Fossil Fuels,Transportation,N2O
Yes,No,Energy,Imported Fossil Fuels,Transportation,N2O
Yes,Yes,Energy,Fuel Combustion,Transportation,N2O
Yes,No,Energy,Imported Fossil Fuels,Transportation,N2O
Yes,No,Energy,Imported Fossil Fuels,Transportation,N2O
Yes,No,Energy,Imported Fossil Fuels,Transportation,N2O
Yes,No,Energy,Imported Fossil Fuels,Transportation,N2O
Yes,No,Energy,Imported Fossil Fuels,Transportation,N2O
Yes,No,Energy,Imported Fossil Fuels,Transportation,N2O
Yes,No,Energy,Imported Fossil Fuels,Transportation,N2O
Yes,No,Energy,Imported Fossil Fuels,Transportation,N2O
Yes,No,Energy,Imported Fossil Fuels,Transportation,N2O
Yes,No,Energy,Imported Fossil Fuels,Transportation,N2O
Yes,No,Energy,Imported Fossil Fuels,Transportation,N2O
Yes,No,Energy,Imported Fossil Fuels,Transportation,N2O
Yes,No,Energy,Imported Fossil Fuels,Transportation,N2O
Yes,No,Energy,Imported Fossil Fuels,Transportation,N2O
Yes,Yes,Energy,Fuel Combustion,Transportation,N2O
Yes,No,Energy,Imported Fossil Fuels,Transportation,N2O
Yes,No,Energy,Imported Fossil Fuels,Transportation,N2O
Yes,No,Energy,Imported Fossil Fuels,Transportation,N2O
Yes,No,Energy,Imported Fossil Fuels,Transportation,N2O
Yes,Yes,Energy,Fuel Combustion,Transportation,N2O
Yes,Yes,Energy,Fuel Combustion,Transportation,CH4
Yes,No,Energy,Imported Fossil Fuels,Transportation,N2O
Yes,No,Energy,Imported Fossil Fuels,Transportation,N2O
Yes,No,Energy,Imported Fossil Fuels,Transportation,N2O
Yes,No,Energy,Imported Fossil Fuels,Transportation,N2O
Yes,No,Energy,Imported Fossil Fuels,Transportation,N2O
Yes,No,Energy,Imported Fossil Fuels,Transportation,N2O
Yes,No,Energy,Imported Fossil Fuels,Transportation,N2O
Yes,No,Energy,Imported Fossil Fuels,Transportation,N2O
Yes,No,Energy,Imported Fossil Fuels,Transportation,N2O
Yes,No,Energy,Imported Fossil Fuels,Transportation,N2O
Yes,Yes,Energy,Fuel Combustion,Transportation,CH4
Yes,No,Energy,Imported Fossil Fuels,Transportation,N2O
Yes,No,Energy,Imported Fossil Fuels,Transportation,N2O
Yes,No,Energy,Imported Fossil Fuels,Transportation,N2O
Yes,No,Energy,Imported Fossil Fuels,Transportation,N2O
Yes,No,Energy,Imported Fossil Fuels,Transportation,N2O
Yes,No,Energy,Imported Fossil Fuels,Transportation,N2O
Yes,No,Energy,Imported Fossil Fuels,Transportation,N2O
Yes,No,Energy,Imported Fossil Fuels,Transportation,N2O
Yes,No,Energy,Imported Fossil Fuels,Transportation,N2O
Yes,No,Energy,Imported Fossil Fuels,Transportation,N2O
Yes,No,Energy,Imported Fossil Fuels,Transportation,N2O
Yes,No,Energy,Imported Fossil Fuels,Transportation,N2O
Yes,Yes,Energy,Fuel Combustion,Transportation,N2O
Yes,No,Energy,Imported Fossil Fuels,Transportation,N2O
Yes,No,Energy,Imported Fossil Fuels,Transportation,N2O
Yes,No,Energy,Imported Fossil Fuels,Transportation,N2O
Yes,No,Energy,Imported Fossil Fuels,Transportation,N2O
Yes,No,Energy,Imported Fossil Fuels,Transportation,N2O
Yes,No,Energy,Imported Fossil Fuels,Transportation,N2O
Yes,No,Energy,Imported Fossil Fuels,Transportation,N2O
Yes,No,Energy,Imported Fossil Fuels,Transportation,N2O
Yes,No,Energy,Imported Fossil Fuels,Transportation,N2O
Yes,No,Energy,Imported Fossil Fuels,Transportation,N2O
Yes,No,Energy,Imported Fossil Fuels,Transportation,N2O
No,No,Energy,Fuel Combustion,Transportation,Biogenic CO2
No,No,Energy,Fuel Combustion,Transportation,Biogenic CO2
Yes,No,Energy,Imported Fossil Fuels,Transportation,N2O
Yes,No,Energy,Imported Fossil Fuels,Transportation,N2O
Yes,No,Energy,Imported Fossil Fuels,Transportation,N2O
Yes,No,Energy,Imported Fossil Fuels,Transportation,N2O
Yes,No,Energy,Imported Fossil Fuels,Transportation,N2O
Yes,No,Energy,Imported Fossil Fuels,Transportation,N2O
Yes,Yes,Energy,Fuel Combustion,Transportation,N2O
No,No,Energy,Fuel Combustion,Transportation,Biogenic CO2
Yes,No,Energy,Imported Fossil Fuels,Transportation,N2O
Yes,No,Energy,Imported Fossil Fuels,Transportation,N2O
Yes,No,Energy,Imported Fossil Fuels,Transportation,N2O
Yes,No,Energy,Imported Fossil Fuels,Transportation,N2O
Yes,Yes,Energy,Fuel Combustion,Transportation,N2O
No,No,Energy,Fuel Combustion,Transportation,Biogenic CO2
Yes,No,Energy,Imported Fossil Fuels,Transportation,N2O
Yes,No,Energy,Imported Fossil Fuels,Transportation,N2O
Yes,Yes,Energy,Fuel Combustion,Transportation,N2O
Yes,No,Energy,Imported Fossil Fuels,Transportation,N2O
Yes,No,Energy,Imported Fossil Fuels,Transportation,N2O
Yes,No,Energy,Imported Fossil Fuels,Transportation,N2O
Yes,Yes,Energy,Fuel Combustion,Transportation,N2O
No,No,Energy,Fuel Combustion,Transportation,Biogenic CO2
Yes,Yes,Energy,Fuel Combustion,Transportation,N2O
Yes,Yes,Energy,Fuel Combustion,Transportation,N2O
Yes,No,Energy,Imported Fossil Fuels,Transportation,N2O
Yes,Yes,Energy,Fuel Combustion,Transportation,N2O
Yes,No,Energy,Imported Fossil Fuels,Transportation,N2O
Yes,No,Energy,Imported Fossil Fuels,Transportation,N2O
Yes,No,Energy,Imported Fossil Fuels,Transportation,N2O
Yes,No,Energy,Imported Fossil Fuels,Transportation,N2O
No,No,Energy,Fuel Combustion,Transportation,Biogenic CO2
Yes,No,Energy,Imported Fossil Fuels,Transportation,N2O
No,No,Energy,Fuel Combustion,Transportation,Biogenic CO2
Yes,No,Energy,Imported Fossil Fuels,Transportation,N2O
Yes,No,Energy,Imported Fossil Fuels,Transportation,N2O
Yes,No,Energy,Imported Fossil Fuels,Transportation,N2O
Yes,No,Energy,Imported Fossil Fuels,Transportation,N2O
Yes,Yes,Energy,Fuel Combustion,Transportation,N2O
Yes,Yes,Energy,Fuel Combustion,Transportation,N2O
No,No,Energy,Fuel Combustion,Transportation,Biogenic CO2
Yes,No,Energy,Imported Fossil Fuels,Transportation,N2O
Yes,Yes,Energy,Fuel Combustion,Transportation,N2O
Yes,No,Energy,Imported Fossil Fuels,Transportation,N2O
Yes,No,Energy,Imported Fossil Fuels,Transportation,CH4
Yes,Yes,Energy,Fuel Combustion,Transportation,CH4
